,Year,City,Median Income
0,2018,"Albany, NY",45500
1,2017,"Albany, NY",43790
2,2016,"Albany, NY",42335
3,2015,"Albany, NY",40949
4,2014,"Albany, NY",41099
5,2013,"Albany, NY",40287
6,2018,"Albany, NY",45500
7,2017,"Albany, NY",43790
8,2016,"Albany, NY",42335
9,2015,"Albany, NY",40949
10,2014,"Albany, NY",41099
11,2013,"Albany, NY",40287
12,2018,"Albany, NY",45500
13,2017,"Albany, NY",43790
14,2016,"Albany, NY",42335
15,2015,"Albany, NY",40949
16,2014,"Albany, NY",41099
17,2013,"Albany, NY",40287
18,2018,"Albany, NY",45500
19,2017,"Albany, NY",43790
20,2016,"Albany, NY",42335
21,2015,"Albany, NY",40949
22,2014,"Albany, NY",41099
23,2013,"Albany, NY",40287
24,2018,"Albany, NY",45500
25,2017,"Albany, NY",43790
26,2016,"Albany, NY",42335
27,2015,"Albany, NY",40949
28,2014,"Albany, NY",41099
29,2013,"Albany, NY",40287
30,2018,"Albany, NY",45500
31,2017,"Albany, NY",43790
32,2016,"Albany, NY",42335
33,2015,"Albany, NY",40949
34,2014,"Albany, NY",41099
35,2013,"Albany, NY",40287
36,2018,"Atlanta, GA",65345
37,2017,"Atlanta, GA",57597
38,2016,"Atlanta, GA",53843
39,2015,"Atlanta, GA",50210
40,2014,"Atlanta, GA",46777
41,2013,"Atlanta, GA",46485
42,2018,"Atlanta, GA",65345
43,2017,"Atlanta, GA",57597
44,2016,"Atlanta, GA",53843
45,2015,"Atlanta, GA",50210
46,2014,"Atlanta, GA",46777
47,2013,"Atlanta, GA",46485
48,2018,"Atlanta, GA",65345
49,2017,"Atlanta, GA",57597
50,2016,"Atlanta, GA",53843
51,2015,"Atlanta, GA",50210
52,2014,"Atlanta, GA",46777
53,2013,"Atlanta, GA",46485
54,2018,"Atlanta, GA",65345
55,2017,"Atlanta, GA",57597
56,2016,"Atlanta, GA",53843
57,2015,"Atlanta, GA",50210
58,2014,"Atlanta, GA",46777
59,2013,"Atlanta, GA",46485
60,2018,"Atlanta, GA",65345
61,2017,"Atlanta, GA",57597
62,2016,"Atlanta, GA",53843
63,2015,"Atlanta, GA",50210
64,2014,"Atlanta, GA",46777
65,2013,"Atlanta, GA",46485
66,2018,"Atlanta, GA",65345
67,2017,"Atlanta, GA",57597
68,2016,"Atlanta, GA",53843
69,2015,"Atlanta, GA",50210
70,2014,"Atlanta, GA",46777
71,2013,"Atlanta, GA",46485
72,2018,"Atlanta, GA",65345
73,2017,"Atlanta, GA",57597
74,2016,"Atlanta, GA",53843
75,2015,"Atlanta, GA",50210
76,2014,"Atlanta, GA",46777
77,2013,"Atlanta, GA",46485
78,2018,"Atlanta, GA",65345
79,2017,"Atlanta, GA",57597
80,2016,"Atlanta, GA",53843
81,2015,"Atlanta, GA",50210
82,2014,"Atlanta, GA",46777
83,2013,"Atlanta, GA",46485
84,2018,"Atlanta, GA",65345
85,2017,"Atlanta, GA",57597
86,2016,"Atlanta, GA",53843
87,2015,"Atlanta, GA",50210
88,2014,"Atlanta, GA",46777
89,2013,"Atlanta, GA",46485
90,2018,"Atlanta, GA",65345
91,2017,"Atlanta, GA",57597
92,2016,"Atlanta, GA",53843
93,2015,"Atlanta, GA",50210
94,2014,"Atlanta, GA",46777
95,2013,"Atlanta, GA",46485
96,2018,"Atlanta, GA",65345
97,2017,"Atlanta, GA",57597
98,2016,"Atlanta, GA",53843
99,2015,"Atlanta, GA",50210
100,2014,"Atlanta, GA",46777
101,2013,"Atlanta, GA",46485
102,2018,"Atlanta, GA",65345
103,2017,"Atlanta, GA",57597
104,2016,"Atlanta, GA",53843
105,2015,"Atlanta, GA",50210
106,2014,"Atlanta, GA",46777
107,2013,"Atlanta, GA",46485
108,2018,"Boise City, ID",56798
109,2017,"Boise City, ID",54547
110,2016,"Boise City, ID",52249
111,2015,"Boise City, ID",50323
112,2014,"Boise City, ID",49209
113,2013,"Boise City, ID",48524
114,2018,"Boise City, ID",56798
115,2017,"Boise City, ID",54547
116,2016,"Boise City, ID",52249
117,2015,"Boise City, ID",50323
118,2014,"Boise City, ID",49209
119,2013,"Boise City, ID",48524
120,2018,"Boise City, ID",56798
121,2017,"Boise City, ID",54547
122,2016,"Boise City, ID",52249
123,2015,"Boise City, ID",50323
124,2014,"Boise City, ID",49209
125,2013,"Boise City, ID",48524
126,2018,"Boise City, ID",56798
127,2017,"Boise City, ID",54547
128,2016,"Boise City, ID",52249
129,2015,"Boise City, ID",50323
130,2014,"Boise City, ID",49209
131,2013,"Boise City, ID",48524
132,2018,"Boise City, ID",56798
133,2017,"Boise City, ID",54547
134,2016,"Boise City, ID",52249
135,2015,"Boise City, ID",50323
136,2014,"Boise City, ID",49209
137,2013,"Boise City, ID",48524
138,2018,"Boise City, ID",56798
139,2017,"Boise City, ID",54547
140,2016,"Boise City, ID",52249
141,2015,"Boise City, ID",50323
142,2014,"Boise City, ID",49209
143,2013,"Boise City, ID",48524
144,2018,"Boston, MA",71834
145,2017,"Boston, MA",66758
146,2016,"Boston, MA",63621
147,2015,"Boston, MA",58263
148,2014,"Boston, MA",56902
149,2013,"Boston, MA",53583
150,2018,"Boston, MA",71834
151,2017,"Boston, MA",66758
152,2016,"Boston, MA",63621
153,2015,"Boston, MA",58263
154,2014,"Boston, MA",56902
155,2013,"Boston, MA",53583
156,2018,"Boston, MA",71834
157,2017,"Boston, MA",66758
158,2016,"Boston, MA",63621
159,2015,"Boston, MA",58263
160,2014,"Boston, MA",56902
161,2013,"Boston, MA",53583
162,2018,"Boston, MA",71834
163,2017,"Boston, MA",66758
164,2016,"Boston, MA",63621
165,2015,"Boston, MA",58263
166,2014,"Boston, MA",56902
167,2013,"Boston, MA",53583
168,2018,"Boston, MA",71834
169,2017,"Boston, MA",66758
170,2016,"Boston, MA",63621
171,2015,"Boston, MA",58263
172,2014,"Boston, MA",56902
173,2013,"Boston, MA",53583
174,2018,"Boston, MA",71834
175,2017,"Boston, MA",66758
176,2016,"Boston, MA",63621
177,2015,"Boston, MA",58263
178,2014,"Boston, MA",56902
179,2013,"Boston, MA",53583
180,2018,"Buffalo, NY",37359
181,2017,"Buffalo, NY",34814
182,2016,"Buffalo, NY",32883
183,2015,"Buffalo, NY",32509
184,2014,"Buffalo, NY",31919
185,2013,"Buffalo, NY",32392
186,2018,"Buffalo, NY",37359
187,2017,"Buffalo, NY",34814
188,2016,"Buffalo, NY",32883
189,2015,"Buffalo, NY",32509
190,2014,"Buffalo, NY",31919
191,2013,"Buffalo, NY",32392
192,2018,"Buffalo, NY",37359
193,2017,"Buffalo, NY",34814
194,2016,"Buffalo, NY",32883
195,2015,"Buffalo, NY",32509
196,2014,"Buffalo, NY",31919
197,2013,"Buffalo, NY",32392
198,2018,"Buffalo, NY",37359
199,2017,"Buffalo, NY",34814
200,2016,"Buffalo, NY",32883
201,2015,"Buffalo, NY",32509
202,2014,"Buffalo, NY",31919
203,2013,"Buffalo, NY",32392
204,2018,"Buffalo, NY",37359
205,2017,"Buffalo, NY",34814
206,2016,"Buffalo, NY",32883
207,2015,"Buffalo, NY",32509
208,2014,"Buffalo, NY",31919
209,2013,"Buffalo, NY",32392
210,2018,"Buffalo, NY",37359
211,2017,"Buffalo, NY",34814
212,2016,"Buffalo, NY",32883
213,2015,"Buffalo, NY",32509
214,2014,"Buffalo, NY",31919
215,2013,"Buffalo, NY",32392
216,2018,"Charlotte, NC",60764
217,2017,"Charlotte, NC",61350
218,2016,"Charlotte, NC",61017
219,2015,"Charlotte, NC",53919
220,2014,"Charlotte, NC",55178
221,2013,"Charlotte, NC",51034
222,2018,"Charlotte, NC",60764
223,2017,"Charlotte, NC",61350
224,2016,"Charlotte, NC",61017
225,2015,"Charlotte, NC",53919
226,2014,"Charlotte, NC",55178
227,2013,"Charlotte, NC",51034
228,2018,"Charlotte, NC",60764
229,2017,"Charlotte, NC",61350
230,2016,"Charlotte, NC",61017
231,2015,"Charlotte, NC",53919
232,2014,"Charlotte, NC",55178
233,2013,"Charlotte, NC",51034
234,2018,"Charlotte, NC",60764
235,2017,"Charlotte, NC",61350
236,2016,"Charlotte, NC",61017
237,2015,"Charlotte, NC",53919
238,2014,"Charlotte, NC",55178
239,2013,"Charlotte, NC",51034
240,2018,"Charlotte, NC",60764
241,2017,"Charlotte, NC",61350
242,2016,"Charlotte, NC",61017
243,2015,"Charlotte, NC",53919
244,2014,"Charlotte, NC",55178
245,2013,"Charlotte, NC",51034
246,2018,"Charlotte, NC",60764
247,2017,"Charlotte, NC",61350
248,2016,"Charlotte, NC",61017
249,2015,"Charlotte, NC",53919
250,2014,"Charlotte, NC",55178
251,2013,"Charlotte, NC",51034
252,2018,"Chicago, IL",57238
253,2017,"Chicago, IL",55295
254,2016,"Chicago, IL",53006
255,2015,"Chicago, IL",50702
256,2014,"Chicago, IL",48734
257,2013,"Chicago, IL",47099
258,2018,"Chicago, IL",57238
259,2017,"Chicago, IL",55295
260,2016,"Chicago, IL",53006
261,2015,"Chicago, IL",50702
262,2014,"Chicago, IL",48734
263,2013,"Chicago, IL",47099
264,2018,"Chicago, IL",57238
265,2017,"Chicago, IL",55295
266,2016,"Chicago, IL",53006
267,2015,"Chicago, IL",50702
268,2014,"Chicago, IL",48734
269,2013,"Chicago, IL",47099
270,2018,"Chicago, IL",57238
271,2017,"Chicago, IL",55295
272,2016,"Chicago, IL",53006
273,2015,"Chicago, IL",50702
274,2014,"Chicago, IL",48734
275,2013,"Chicago, IL",47099
276,2018,"Chicago, IL",57238
277,2017,"Chicago, IL",55295
278,2016,"Chicago, IL",53006
279,2015,"Chicago, IL",50702
280,2014,"Chicago, IL",48734
281,2013,"Chicago, IL",47099
282,2018,"Chicago, IL",57238
283,2017,"Chicago, IL",55295
284,2016,"Chicago, IL",53006
285,2015,"Chicago, IL",50702
286,2014,"Chicago, IL",48734
287,2013,"Chicago, IL",47099
288,2018,"Cincinnati, OH",43585
289,2017,"Cincinnati, OH",38938
290,2016,"Cincinnati, OH",38539
291,2015,"Cincinnati, OH",35001
292,2014,"Cincinnati, OH",32688
293,2013,"Cincinnati, OH",34605
294,2018,"Cincinnati, OH",43585
295,2017,"Cincinnati, OH",38938
296,2016,"Cincinnati, OH",38539
297,2015,"Cincinnati, OH",35001
298,2014,"Cincinnati, OH",32688
299,2013,"Cincinnati, OH",34605
300,2018,"Cincinnati, OH",43585
